IP地址,OriginalInput,端口号,TLS,丢包率,扫描方式,网络延迟,下载速度,出站IP,IP类型,数据中心,源IP位置,地区,城市,ASN号码,ASN组织
103.26.8.222,,443,true,0%,HTTPing,173ms,33.95MB/s,103.26.8.222,IPv4,SIN,SG,Asia Pacific,Singapore,AS36002,GoMami Networks
38.147.163.136,,22116,true,0%,HTTPing,149ms,32.16MB/s,38.147.163.136,IPv4,HKG,HK,Asia Pacific,Hong Kong,AS6134,XNNET LLC
38.207.165.56,,10271,true,0%,HTTPing,144ms,30.80MB/s,2401:1fe0:1::5ac,IPv6,HKG,HK,Asia Pacific,Hong Kong,AS967,VMISS Inc.
43.198.204.35,,443,true,0%,HTTPing,131ms,28.32MB/s,43.198.204.35,IPv4,HKG,HK,Asia Pacific,Hong Kong,AS16509,"Amazon.com, Inc."
38.147.163.235,,31417,true,0%,HTTPing,145ms,28.03MB/s,2a12:ab80:4:4::e2f8:4033,IPv6,HKG,HK,Asia Pacific,Hong Kong,AS6134,XNNET LLC
45.39.199.86,,10443,true,0%,HTTPing,146ms,26.12MB/s,45.39.199.86,IPv4,HKG,HK,Asia Pacific,Hong Kong,AS61112,AKILE LTD
193.111.30.245,,25535,true,0%,HTTPing,177ms,21.67MB/s,2403:71c0:2000:a5aa::6c3e,IPv6,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation
172.104.81.253,,443,true,0%,HTTPing,162ms,19.78MB/s,2400:8902::f03c:91ff:fe69:2968,IPv6,NRT,JP,Asia Pacific,Tokyo,AS63949,Akamai Connected Cloud
45.207.35.244,,2053,true,0%,HTTPing,188ms,18.28MB/s,2a0e:97c0:7d7:bb23:456b:954d:cef1:1ded,IPv6,HKG,MO,Asia Pacific,Hong Kong,AS61112,AKILE LTD
54.46.72.234,,8007,true,0%,HTTPing,128ms,16.64MB/s,54.46.72.234,IPv4,HKG,HK,Asia Pacific,Hong Kong,AS16509,"Amazon.com, Inc."
31.57.172.94,,443,true,0%,HTTPing,184ms,14.70MB/s,2a12:bec0:689:1100::,IPv6,NRT,JP,Asia Pacific,Tokyo,AS212336,ByteVirt LLC
203.69.248.40,,33699,true,0%,HTTPing,183ms,12.91MB/s,203.69.248.40,IPv4,KHH,TW,Asia Pacific,Kaohsiung City,AS3462,Data Communication Business Group
38.207.132.128,,6879,true,0%,HTTPing,152ms,12.24MB/s,2a12:ab80:4:3::2a10:2008,IPv6,HKG,HK,Asia Pacific,Hong Kong,AS6134,XNNET LLC
140.235.37.85,,443,true,0%,HTTPing,178ms,11.93MB/s,2a12:bec0:689:10b4::,IPv6,NRT,JP,Asia Pacific,Tokyo,AS212336,ByteVirt LLC
31.57.172.60,,443,true,0%,HTTPing,190ms,11.89MB/s,2a12:bec0:689:10d4::,IPv6,NRT,JP,Asia Pacific,Tokyo,AS212336,ByteVirt LLC
146.235.18.248,,45137,true,0%,HTTPing,188ms,11.16MB/s,146.235.18.248,IPv4,SIN,SG,Asia Pacific,Singapore,AS31898,Oracle Corporation
38.147.185.143,,555,true,0%,HTTPing,150ms,10.96MB/s,38.147.185.143,IPv4,HKG,HK,Asia Pacific,Hong Kong,AS932,XNNET LLC
103.244.91.194,,40400,true,0%,HTTPing,151ms,10.65MB/s,103.244.91.194,IPv4,HKG,HK,Asia Pacific,Hong Kong,AS6134,XNNET LLC
103.135.250.41,,2053,true,0%,HTTPing,133ms,10.40MB/s,2403:18c0:4:2ff:2047:9eff:fed6:48b4,IPv6,HKG,HK,Asia Pacific,Hong Kong,AS906,DMIT Cloud Services
45.192.241.147,,7777,true,0%,HTTPing,177ms,9.70MB/s,45.192.241.147,IPv4,NRT,JP,Asia Pacific,Tokyo,AS401615,ACCK LLC
91.110.209.75,,443,true,0%,HTTPing,110ms,4.71MB/s,103.135.34.196,IPv4,HKG,HK,Asia Pacific,Hong Kong,AS40065,CNSERVERS LLC
91.110.182.6,,443,true,0%,HTTPing,114ms,1.67MB/s,103.135.34.196,IPv4,HKG,HK,Asia Pacific,Hong Kong,AS40065,CNSERVERS LLC
91.110.182.12,,443,true,0%,HTTPing,117ms,3.86MB/s,103.135.34.196,IPv4,HKG,HK,Asia Pacific,Hong Kong,AS40065,CNSERVERS LLC
104.17.53.192,,443,true,0%,HTTPing,120ms,0.02MB/s,111.18.198.246,IPv4,HKG,CN,Asia Pacific,Hong Kong,AS9808,"China Mobile Communications Group Co., Ltd."
198.41.208.125,,443,true,0%,HTTPing,120ms,0.02MB/s,111.18.198.246,IPv4,HKG,CN,Asia Pacific,Hong Kong,AS9808,"China Mobile Communications Group Co., Ltd."
91.193.59.30,,443,true,0%,HTTPing,120ms,0.23MB/s,111.18.198.246,IPv4,HKG,CN,Asia Pacific,Hong Kong,AS9808,"China Mobile Communications Group Co., Ltd."
104.17.162.3,,443,true,0%,HTTPing,121ms,0.04MB/s,111.18.198.246,IPv4,HKG,CN,Asia Pacific,Hong Kong,AS9808,"China Mobile Communications Group Co., Ltd."
91.110.209.67,,443,true,0%,HTTPing,121ms,3.51MB/s,103.135.34.196,IPv4,HKG,HK,Asia Pacific,Hong Kong,AS40065,CNSERVERS LLC
104.18.43.194,,443,true,0%,HTTPing,122ms,0.03MB/s,111.18.198.246,IPv4,HKG,CN,Asia Pacific,Hong Kong,AS9808,"China Mobile Communications Group Co., Ltd."
104.17.117.173,,443,true,0%,HTTPing,123ms,0.07MB/s,111.18.198.246,IPv4,HKG,CN,Asia Pacific,Hong Kong,AS9808,"China Mobile Communications Group Co., Ltd."
104.16.151.21,,443,true,0%,HTTPing,123ms,0.01MB/s,111.18.198.246,IPv4,HKG,CN,Asia Pacific,Hong Kong,AS9808,"China Mobile Communications Group Co., Ltd."
104.25.251.253,,443,true,0%,HTTPing,123ms,0.18MB/s,111.18.198.246,IPv4,HKG,CN,Asia Pacific,Hong Kong,AS9808,"China Mobile Communications Group Co., Ltd."
104.19.146.74,,443,true,0%,HTTPing,124ms,0.01MB/s,111.18.198.246,IPv4,HKG,CN,Asia Pacific,Hong Kong,AS9808,"China Mobile Communications Group Co., Ltd."
104.19.154.200,,443,true,0%,HTTPing,125ms,0.07MB/s,111.18.198.246,IPv4,HKG,CN,Asia Pacific,Hong Kong,AS9808,"China Mobile Communications Group Co., Ltd."
43.133.237.158,,8443,true,0%,HTTPing,126ms,3.29MB/s,43.133.237.158,IPv4,ICN,KR,Asia Pacific,Seoul,AS132203,"Tencent Building, Kejizhongyi Avenue"
